Rang,Land/Gebiet,CPI Wert 2012,Zahl der Umfragen,Standard-abweichung,90 % Vertrauens-intervall,,Umfang,
,,,,,untere Grenze,obere Grenze,Min,Max
1,D?nemark,90,7,"2,0",87,93,83,98
1,Finnland,90,7,"3,0",85,95,83,100
1,Neuseeland,90,7,"2,2",87,94,83,98
4,Schweden,88,7,"1,9",85,91,82,97
5,Singapur,87,9,"2,1",83,90,79,99
6,Schweiz,86,6,"2,6",81,90,73,90
7,Australien,85,8,"1,1",83,86,80,89
7,Norwegen,85,7,"1,6",82,87,78,89
9,Kanada,84,7,"2,2",80,87,74,89
9,Niederlande,84,7,"2,0",81,88,73,89
11,Island,82,6,"4,1",75,89,71,98
12,Luxemburg,80,6,"2,8",75,85,71,89
13,Deutschland,79,8,"2,3",75,83,73,89
14,Hongkong,77,8,"1,9",74,80,69,83
15,Barbados,76,3,"6,7",65,87,66,88
16,Belgien,75,7,"2,4",71,78,71,89
17,Japan,74,9,"2,3",70,78,57,79
17,Gro?britannien,74,8,"1,3",72,77,69,81
19,USA,73,9,"4,1",66,79,50,89
20,Chile,72,9,"2,1",69,76,63,82
20,Uruguay,72,6,"1,5",70,75,69,79
22,Bahamas,71,3,"1,0",70,73,69,73
22,Frankreich,71,8,"2,4",67,75,57,79
22,St. Lucia,71,3,"0,8",70,73,70,73
25,?sterreich,69,8,"2,4",65,73,59,79
25,Irland,69,6,"3,5",64,75,54,78
27,Katar,68,6,"6,4",58,79,49,89
27,Vereinigte Arabische Emirate,68,7,"4,3",61,75,54,86
29,Zypern,66,4,"2,4",63,70,62,71
30,Botsuana,65,7,"1,9",62,68,60,72
30,Spanien,65,7,"2,9",60,69,52,73
32,Estland,64,8,"3,0",59,69,50,75
33,Bhutan,63,3,"3,6",57,69,58,70
33,Portugal,63,7,"2,5",59,67,54,73
33,Puerto Rico,63,3,"4,9",55,71,54,71
36,St. Vincent und die Grenadinen,62,3,"5,6",53,71,54,73
37,Slowenien,61,8,"3,9",55,67,45,73
37,Taiwan,61,7,"3,9",54,67,50,79
39,Kap Verde,60,4,"3,8",54,67,52,70
39,Israel,60,5,"2,9",55,64,52,68
41,Dominica,58,3,"2,3",55,62,54,63
41,Polen,58,10,"2,0",55,62,47,65
43,Malta,57,4,"2,4",53,61,52,63
43,Mauritius,57,5,"3,5",51,63,52,71
45,S¨¹dkorea,56,10,"2,4",52,60,47,67
46,Brunei,55,3,"9,1",40,70,41,72
46,Ungarn,55,10,"3,5",49,61,37,71
48,Costa Rica,54,5,"7,0",43,66,31,71
48,Litauen,54,7,"5,3",45,63,31,71
50,Ruanda,53,5,"6,3",42,63,40,77
51,Georgien,52,6,"6,0",42,62,32,70
51,Seychellen,52,4,"8,0",38,65,32,71
53,Bahrain,51,5,"4,1",44,58,36,61
54,Tschechische Republik,49,10,"2,9",44,53,34,62
54,Lettland,49,6,"4,0",42,55,31,58
54,Malaysia,49,9,"3,4",44,55,31,62
54,T¨¹rkei,49,9,"2,1",45,52,38,57
58,Kuba,48,4,"4,1",41,55,36,54
58,Jordanien,48,7,"3,1",43,54,36,57
58,Namibia,48,6,"3,5",42,54,38,63
61,Oman,47,5,"7,6",35,60,32,75
62,Kroatien,46,8,"3,1",41,51,32,54
62,Slowakei,46,8,"4,3",39,53,30,62
64,Ghana,45,9,"3,8",39,51,28,58
64,Lesotho,45,5,"4,6",38,53,37,63
66,Kuwait,44,5,"3,9",37,50,32,52
66,Rum?nien,44,8,"3,7",38,50,32,60
66,Saudi Arabien,44,5,"6,4",34,55,32,69
69,Brasilien,43,8,"3,3",38,49,31,58
69,Mazedonien,43,6,"4,7",35,51,21,50
69,S¨¹dafrika,43,9,"2,5",39,48,32,55
72,Bosnien und Herzegowina,42,7,"2,3",38,46,35,54
72,Italien,42,7,"2,4",38,46,37,55
72,S?o Tom¨¦ und Pr¨ªncipe,42,3,"5,0",34,50,32,47
75,Bulgarien,41,8,"3,8",35,47,29,62
75,Liberia,41,7,"3,9",35,47,28,55
75,Montenegro,41,4,"4,5",34,49,32,53
75,Tunesien,41,7,"2,8",36,45,28,50
79,Sri Lanka,40,7,"1,3",38,42,35,44
80,China,39,9,"2,9",34,43,28,55
80,Serbien,39,7,"2,6",35,44,31,49
80,Trinidad und Tobago,39,4,"4,5",32,47,31,52
83,Burkina Faso,38,7,"4,4",31,45,23,55
83,El Salvador,38,6,"2,8",33,43,25,45
83,Jamaika,38,6,"2,2",35,42,31,47
83,Panama,38,6,"3,1",33,44,31,52
83,Peru,38,7,"2,1",35,42,29,45
88,Malawi,37,8,"1,5",34,39,31,45
88,Marokko,37,8,"3,2",32,43,25,54
88,Suriname,37,3,"3,2",31,42,31,42
88,Swasiland,37,4,"2,1",33,40,32,42
88,Thailand,37,8,"1,6",34,40,31,45
88,Sambia,37,8,"3,1",32,42,23,50
94,Benin,36,6,"4,3",29,44,18,47
94,Kolumbien,36,7,"2,6",32,40,29,50
94,Dschibuti,36,3,"8,6",22,50,23,52
94,Griechenland,36,7,"3,6",30,42,21,49
94,Indien,36,10,"2,1",33,40,24,47
94,Moldau,36,8,"2,6",31,40,25,47
94,Mongolei,36,7,"2,6",32,40,26,47
94,Senegal,36,9,"1,8",33,39,32,47
102,Argentinien,35,8,"2,6",31,39,19,41
102,Gabun,35,5,"2,1",32,38,31,42
102,Tansania,35,8,"2,1",31,38,22,41
105,Algerien,34,6,"3,3",29,40,20,42
105,Armenien,34,6,"2,7",29,38,21,40
105,Bolivien,34,7,"3,7",28,40,17,47
105,Gambia,34,5,"7,0",22,45,17,57
105,Kosovo,34,3,"1,5",32,37,31,36
105,Mali,34,6,"4,0",27,40,18,47
105,Mexiko,34,9,"1,7",31,37,27,42
105,Philippinen,34,9,"2,2",30,37,21,42
113,Albanien,33,7,"2,0",30,36,23,39
113,?thiopien,33,8,"1,6",30,36,23,38
113,Guatemala,33,6,"2,7",28,37,21,40
113,Niger,33,5,"3,1",28,38,21,40
113,Timor-Leste,33,3,"5,6",23,42,23,43
118,Dominikanische Republik,32,6,"2,7",28,37,23,42
118,Ecuador,32,6,"2,9",28,37,21,41
118,?gypten,32,7,"3,1",27,37,17,44
118,Indonesien,32,9,"2,9",27,37,21,50
118,Madagaskar,32,8,"3,2",26,37,17,42
123,Belarus,31,5,"3,6",25,37,22,43
123,Mauretanien,31,5,"3,5",25,36,23,42
123,Mosambik,31,7,"1,6",29,34,25,38
123,Sierra Leone,31,8,"1,9",28,34,21,40
123,Vietnam,31,8,"2,5",27,35,21,41
128,Libanon,30,6,"2,3",27,34,23,38
128,Togo,30,5,"3,4",24,35,23,42
130,C?te d?Ivoire,29,8,"2,4",25,33,19,38
130,Nicaragua,29,7,"2,1",26,32,21,37
130,Uganda,29,8,"2,2",25,32,22,38
133,Komoren,28,3,"7,5",15,40,17,42
133,Guyana,28,4,"2,1",25,31,23,32
133,Honduras,28,6,"2,4",24,32,21,35
133,Iran,28,6,"4,6",20,35,19,43
133,Kasachstan,28,8,"4,1",21,35,11,48
133,Russland,28,9,"2,2",25,32,21,43
139,Aserbaidschan,27,6,"2,5",23,31,21,38
139,Kenia,27,8,"2,2",24,31,19,35
139,Nepal,27,5,"2,4",23,31,22,35
139,Nigeria,27,9,"2,7",22,31,17,38
139,Pakistan,27,8,"2,3",23,31,19,38
144,Bangladesch,26,7,"4,1",20,33,21,50
144,Kamerun,26,8,"3,5",20,32,12,41
144,Zentralafrikanische Republik,26,4,"2,4",22,30,22,32
144,Republik Kongo,26,6,"3,3",20,31,19,40
144,Syrien,26,5,"2,7",22,31,19,32
144,Ukraine,26,8,"1,8",24,29,18,32
150,Eritrea,25,4,"9,2",10,40,12,52
150,Guinea-Bissau,25,4,"2,1",22,29,22,31
150,Papua Neuguinea,25,5,"4,2",18,32,11,35
150,Paraguay,25,5,"2,9",20,29,21,36
154,Guinea,24,7,"2,7",19,28,12,32
154,Kirgisistan,24,6,"1,8",21,27,18,32
156,Jemen,23,6,"2,2",20,27,16,31
157,Angola,22,7,"1,8",20,25,17,31
157,Kambodscha,22,7,"3,1",17,27,12,37
157,Tadschikistan,22,5,"3,8",15,28,11,32
160,Demokratische Republik Kongo,21,5,"3,3",16,27,12,32
160,Laos,21,3,"1,3",19,23,19,23
160,Libyen,21,6,"4,0",14,27,2,31
163,?quatorialguinea,20,3,"1,3",18,22,17,22
163,Simbabwe,20,8,"4,3",12,27,0,38
165,Burundi,19,5,"2,8",14,23,12,28
165,Tschad,19,5,"2,5",15,23,12,25
165,Haiti,19,5,"2,8",14,23,11,23
165,Venezuela,19,7,"2,1",15,22,12,25
169,Irak,18,4,"2,3",14,22,11,21
170,Turkmenistan,17,3,"2,9",12,22,11,21
170,Usbekistan,17,6,"2,0",14,20,11,22
172,Myanmar,15,4,"3,7",9,21,6,21
173,Sudan,13,6,"2,9",8,17,0,21
174,Afghanistan,8,3,"3,3",2,13,1,12
174,Nordkorea,8,3,"3,4",2,13,1,12
174,Somalia,8,4,"2,3",4,12,2,12
,,,,,,,,
Vietnam,VNM,AP,2.9,112,0.17,,,
Yemen,YEM,MENA,2.1,164,0.12,,,
Zambia,ZMB,SSA,3.2,91,0.31,,,
Zimbabwe,ZWE,SSA,2.2,154,0.37,,,
